Observatoires,Coordonnées,,,,,,,
Anglo-Australian Telescope,"-31.27534207526749, 149.0672846662633",,,,,,,
Apache Point Observatory,"32.780636318295734, -105.81999584630083",,,,,,,
Arecibo Observatory,"18.34601216093795, -66.75255684158272",,,,,,,
Atacama Large Millimeter Array (ALMA),"-23.023147826197164, -67.75387641968857",,,,,,,
Bohyunsan Optical Astronomical Observatory,"36.16489030514635, 128.97715299618378",,,,,,,
Calar Alto Observatory,"37.22098681112704, -2.5467466749286922",,,,,,,
Cerro Tololo Inter-American Observatory,"-30.172999195013897, -70.8035326040837",,,,,,,
European Southern Observatory,"48.259718584205714, 11.670911781502792",,,,,,,
Fred Lawrence Whipple Observatory,"31.675331648422382, -110.9520540193643",,,,,,,
Gemini Observatory,"20.50068305856466, -155.67750595063137",,,,,,,
Haleakala Observatory,"20.708424037079833, -156.25671128907203",,,,,,,
Haute-Provence Observatory,"43.93477656826799, 5.710641367755971",,,,,,,
Kitt Peak National Observatory,"31.969728592802635, -111.6051084624401",,,,,,,
La Silla Observatory,"-29.256119310535677, -70.73802434644921",,,,,,,
Large Binocular Telescope Observatory,"32.70147941313763, -109.88924877699137",,,,,,,
Las Campanas Observatory,"-29.017995207221226, -70.69148687449366",,,,,,,
Leoncito Astronomical Complex,"-31.798433703992785, -69.29559944634372",,,,,,,
Lick Observatory,"37.341592097745064, -121.64291020375863",,,,,,,
Mauna Kea Observatory,"19.82080711808954, -155.4680831089439",,,,,,,
McDonald Observatory,"30.672596411640605, -104.02214356452396",,,,,,,
Okayama Astrophysical Observatory,"34.57652567237642, 133.59540819742608",,,,,,,
Palomar Observatory,"33.35648490218383, -116.86503169045454",,,,,,,
Paranal Observatory,"-24.62648017504663, -70.40448978300905",,,,,,,
Parkes Observatory,"-32.99835975367123, 148.26213301403266",,,,,,,
Roque de los Muchachos Observatory,"28.75740324834593, -17.884985304140677",,,,,,,
SPECULOOS Southern Observatory,"48.259725726982495, 11.670954696846337",,,,,,,
Teide Observatory,"28.302256389039556, -16.511177039460286",,,,,,,
Thueringer Landessternwarte Tautenburg,"50.98181947138782, 11.711523297015688",,,,,,,
University of Canterbury Mt John Observatory,"-43.98507953770719, 170.46408948125116",,,,,,,
Very Long Baseline Array,"19.801776864994302, -155.4555967044413",,,,,,,
W. M. Keck Observatory,"19.832051799599736, -155.47544302512094",,,,,,,
Winer Observatory,"34.15911004792921, -110.76784543577926",,,,,,,
Xinglong Station,"40.39894256347256, 117.5824500752723",,,,,,,
Yunnan Astronomical Observatory,"25.022429415012827, 102.78998780921367",,,,,,,
